run_utc,endpoint,model,rounds,concurrency,requests,completion_tokens,wall_s,output_tps,mean_latency_s,p50_latency_s,p95_latency_s
2026-07-14T17:21:08Z,http://127.0.0.1:8001/v1,base,1,1,1,128,3.053,41.924,3.052,3.052,3.052
2026-07-14T17:21:13Z,http://127.0.0.1:8001/v1,base,1,2,2,256,5.169,49.527,3.646,2.123,5.168
2026-07-14T17:21:21Z,http://127.0.0.1:8001/v1,base,1,3,3,384,7.944,48.339,5.058,5.116,7.942
2026-07-14T17:21:32Z,http://127.0.0.1:8001/v1,base,1,4,4,512,11.072,46.244,6.829,8.007,11.069
2026-07-14T17:21:46Z,http://127.0.0.1:8001/v1,base,1,5,5,640,13.816,46.324,8.044,8.008,13.811
