run_utc,endpoint,model,rounds,concurrency,requests,completion_tokens,wall_s,output_tps,mean_latency_s,p50_latency_s,p95_latency_s
2026-07-14T18:22:27Z,http://127.0.0.1:8001/v1,base,3,1,3,3945,73.848,53.421,24.615,24.688,24.751
2026-07-14T18:23:57Z,http://127.0.0.1:8001/v1,base,3,2,6,6651,89.323,74.460,27.077,24.675,29.881
2026-07-14T18:25:30Z,http://127.0.0.1:8001/v1,base,3,3,9,8499,93.245,91.147,28.468,28.287,31.180
2026-07-14T18:27:38Z,http://127.0.0.1:8001/v1,base,3,4,12,12051,128.366,93.880,35.968,36.411,43.411
2026-07-14T18:30:46Z,http://127.0.0.1:8001/v1,base,3,5,15,16899,187.946,89.914,49.031,49.007,63.738
